# cpu_brand=Intel(R) Core(TM) i5-8600K CPU @ 3.60GHz
# logical_cores=6
# omp_max_threads=6
# active_threads=6
# build_type=release
# godot_version=4.5-stable (official)
label,run,elapsed_us,map_width,map_height,working_set_bytes,peak_working_set_bytes,private_bytes
pipe_cpp,3,8147,128,128,720818176,1380020224,2405552128
pipe_cpp,3,11119,128,128,720818176,1380020224,2405552128
pipe_cpp,3,14110,128,128,720818176,1380020224,2405552128
pipe_cpp,3,17103,128,128,720818176,1380020224,2405552128
pipe_cpp,3,20092,128,128,720818176,1380020224,2405552128
pipe_cpp,4,3,128,128,720818176,1380020224,2405552128
pipe_cpp,4,2094,128,128,720818176,1380020224,2405552128
pipe_cpp,4,5087,128,128,720818176,1380020224,2405552128
pipe_cpp,4,8080,128,128,720818176,1380020224,2405552128
pipe_cpp,4,11071,128,128,720818176,1380020224,2405552128
pipe_cpp,4,14058,128,128,720818176,1380020224,2405552128
pipe_cpp,4,17078,128,128,720818176,1380020224,2405552128
pipe_cpp,5,2,128,128,720818176,1380020224,2405552128
pipe_cpp,5,2162,128,128,720818176,1380020224,2405552128
pipe_cpp,5,5171,128,128,720818176,1380020224,2405552128
pipe_cpp,5,8134,128,128,720818176,1380020224,2405552128
pipe_cpp,5,11128,128,128,720818176,1380020224,2405552128
pipe_cpp,5,14119,128,128,720818176,1380020224,2405552128
pipe_cpp,5,17110,128,128,720818176,1380020224,2405552128
pipe_cpp,6,2,128,128,720822272,1380020224,2405556224
pipe_cpp,6,2366,128,128,720822272,1380020224,2405556224
pipe_cpp,6,5353,128,128,720822272,1380020224,2405556224
pipe_cpp,6,8352,128,128,720822272,1380020224,2405556224
pipe_cpp,6,11362,128,128,720822272,1380020224,2405556224
pipe_cpp,6,14326,128,128,720822272,1380020224,2405556224
pipe_cpp,6,17370,128,128,720822272,1380020224,2405556224
pipe_cpp,7,2,128,128,720818176,1380020224,2405552128
pipe_cpp,7,2200,128,128,720818176,1380020224,2405552128
pipe_cpp,7,5175,128,128,720818176,1380020224,2405552128
pipe_cpp,7,8181,128,128,720818176,1380020224,2405552128
pipe_cpp,7,11162,128,128,720818176,1380020224,2405552128
pipe_cpp,7,14150,128,128,720818176,1380020224,2405552128
pipe_cpp,7,17143,128,128,720818176,1380020224,2405552128
pipe_cpp,8,1,128,128,720822272,1380020224,2405556224
pipe_cpp,8,2349,128,128,720822272,1380020224,2405556224
pipe_cpp,8,5342,128,128,720822272,1380020224,2405556224
pipe_cpp,8,8340,128,128,720822272,1380020224,2405556224
